unit	layer	module	package	files	state	commit	paths
L3-agent-agent	3	aether-weaver-agent	de.splatgames.aether.weaver.agent	4	done	79cd0db	aether-weaver-agent/src/main/java/de/splatgames/aether/weaver/agent/ModuleAccess.java;aether-weaver-agent/src/main/java/de/splatgames/aether/weaver/agent/RetransformApplicability.java;aether-weaver-agent/src/main/java/de/splatgames/aether/weaver/agent/WeaverAgent.java;aether-weaver-agent/src/main/java/de/splatgames/aether/weaver/agent/WeavingTransformer.java
L3-maven-plugin-maven	3	aether-weaver-maven-plugin	de.splatgames.aether.weaver.maven	10	done	071eb5f	aether-weaver-maven-plugin/src/main/java/de/splatgames/aether/weaver/maven/AbstractWeaveMojo.java;aether-weaver-maven-plugin/src/main/java/de/splatgames/aether/weaver/maven/AuditMojo.java;aether-weaver-maven-plugin/src/main/java/de/splatgames/aether/weaver/maven/ClassDirectory.java;aether-weaver-maven-plugin/src/main/java/de/splatgames/aether/weaver/maven/DependencyJar.java;aether-weaver-maven-plugin/src/main/java/de/splatgames/aether/weaver/maven/DependencyWeaver.java;aether-weaver-maven-plugin/src/main/java/de/splatgames/aether/weaver/maven/Manifests.java;aether-weaver-maven-plugin/src/main/java/de/splatgames/aether/weaver/maven/Receivers.java;aether-weaver-maven-plugin/src/main/java/de/splatgames/aether/weaver/maven/StubsMojo.java;aether-weaver-maven-plugin/src/main/java/de/splatgames/aether/weaver/maven/WeaveMojo.java;aether-weaver-maven-plugin/src/main/java/de/splatgames/aether/weaver/maven/WeaveTestsMojo.java
L3-processor-processor-01	3	aether-weaver-processor	de.splatgames.aether.weaver.processor	7	done	7cebcda	aether-weaver-processor/src/main/java/de/splatgames/aether/weaver/processor/Anchor.java;aether-weaver-processor/src/main/java/de/splatgames/aether/weaver/processor/Anchors.java;aether-weaver-processor/src/main/java/de/splatgames/aether/weaver/processor/ExtensionChecks.java;aether-weaver-processor/src/main/java/de/splatgames/aether/weaver/processor/HandlerChecks.java;aether-weaver-processor/src/main/java/de/splatgames/aether/weaver/processor/ManifestEmitter.java;aether-weaver-processor/src/main/java/de/splatgames/aether/weaver/processor/MemberChecks.java;aether-weaver-processor/src/main/java/de/splatgames/aether/weaver/processor/MessagerReporter.java
L3-processor-processor-02	3	aether-weaver-processor	de.splatgames.aether.weaver.processor	7	done	9c87ea7	aether-weaver-processor/src/main/java/de/splatgames/aether/weaver/processor/PointChecks.java;aether-weaver-processor/src/main/java/de/splatgames/aether/weaver/processor/SelectorChecks.java;aether-weaver-processor/src/main/java/de/splatgames/aether/weaver/processor/SourceMembers.java;aether-weaver-processor/src/main/java/de/splatgames/aether/weaver/processor/SourceSpecs.java;aether-weaver-processor/src/main/java/de/splatgames/aether/weaver/processor/SourceTargets.java;aether-weaver-processor/src/main/java/de/splatgames/aether/weaver/processor/TargetBytes.java;aether-weaver-processor/src/main/java/de/splatgames/aether/weaver/processor/WeaveProcessor.java
L3-runtime-runtime	3	aether-weaver-runtime	de.splatgames.aether.weaver.runtime	4	done	a08851c	aether-weaver-runtime/src/main/java/de/splatgames/aether/weaver/runtime/AotCache.java;aether-weaver-runtime/src/main/java/de/splatgames/aether/weaver/runtime/ManifestWeaveSource.java;aether-weaver-runtime/src/main/java/de/splatgames/aether/weaver/runtime/WeaveDiscovery.java;aether-weaver-runtime/src/main/java/de/splatgames/aether/weaver/runtime/WeavingClassLoader.java
L3-runtime-runtime-config	3	aether-weaver-runtime	de.splatgames.aether.weaver.runtime.config	9	done	9c04dea	aether-weaver-runtime/src/main/java/de/splatgames/aether/weaver/runtime/config/ConfigLayer.java;aether-weaver-runtime/src/main/java/de/splatgames/aether/weaver/runtime/config/ConfigLayers.java;aether-weaver-runtime/src/main/java/de/splatgames/aether/weaver/runtime/config/ConfigParser.java;aether-weaver-runtime/src/main/java/de/splatgames/aether/weaver/runtime/config/ErrorPolicy.java;aether-weaver-runtime/src/main/java/de/splatgames/aether/weaver/runtime/config/InjectorOverride.java;aether-weaver-runtime/src/main/java/de/splatgames/aether/weaver/runtime/config/PolicyConfig.java;aether-weaver-runtime/src/main/java/de/splatgames/aether/weaver/runtime/config/TagFilter.java;aether-weaver-runtime/src/main/java/de/splatgames/aether/weaver/runtime/config/WeaveOverride.java;aether-weaver-runtime/src/main/java/de/splatgames/aether/weaver/runtime/config/WeaverConfig.java
L3-testkit-testkit	3	aether-weaver-testkit	de.splatgames.aether.weaver.testkit	6	done	664fa38	aether-weaver-testkit/src/main/java/de/splatgames/aether/weaver/testkit/GoldenFiles.java;aether-weaver-testkit/src/main/java/de/splatgames/aether/weaver/testkit/WeaveResult.java;aether-weaver-testkit/src/main/java/de/splatgames/aether/weaver/testkit/WeaverExtension.java;aether-weaver-testkit/src/main/java/de/splatgames/aether/weaver/testkit/Weaves.java;aether-weaver-testkit/src/main/java/de/splatgames/aether/weaver/testkit/Weaving.java;aether-weaver-testkit/src/main/java/de/splatgames/aether/weaver/testkit/WovenAssert.java
L4-tests-api-api+4	4	aether-weaver-api	de.splatgames.aether.weaver.api; de.splatgames.aether.weaver.api.diagnostic; de.splatgames.aether.weaver.api.manifest; de.splatgames.aether.weaver.api.select; de.splatgames.aether.weaver.api.spi	8	done	0cbd6f5	aether-weaver-api/src/test/java/de/splatgames/aether/weaver/api/AnnotationSurfaceTest.java;aether-weaver-api/src/test/java/de/splatgames/aether/weaver/api/diagnostic/DiagnosticCodeTest.java;aether-weaver-api/src/test/java/de/splatgames/aether/weaver/api/diagnostic/DiagnosticIdTest.java;aether-weaver-api/src/test/java/de/splatgames/aether/weaver/api/manifest/ManifestRoundTripTest.java;aether-weaver-api/src/test/java/de/splatgames/aether/weaver/api/select/SelectorParserTest.java;aether-weaver-api/src/test/java/de/splatgames/aether/weaver/api/select/SelectorRenderingTest.java;aether-weaver-api/src/test/java/de/splatgames/aether/weaver/api/spi/ClassSourceTest.java;aether-weaver-api/src/test/java/de/splatgames/aether/weaver/api/spi/ExtensionCompilesAgainstApiAloneTest.java
L5-ide-main-idea-augment	5	aether-weaver-ide/aether-weaver-idea	de.splatgames.aether.weaver.idea.augment	4	done	6fe1382	aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/augment/ContributedField.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/augment/ContributedMethod.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/augment/ExtensionAugmentProvider.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/augment/WeaveAugmentProvider.java
L5-ide-main-idea-bytecode+1	5	aether-weaver-ide/aether-weaver-idea	de.splatgames.aether.weaver.idea.bytecode; de.splatgames.aether.weaver.idea.completion	10	done	8d8305a	aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/bytecode/CompiledClasses.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/bytecode/CompiledLines.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/bytecode/EditorLines.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/bytecode/OperationsAtLine.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/bytecode/SourceAnchor.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/bytecode/SpotFinder.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/bytecode/TargetLocals.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/bytecode/TargetOperations.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/bytecode/WeaveSpot.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/completion/ContributedMethodCompletionContributor.java
